"respondent","sex","birth_year","city_size","employment","workplace","profession","addtl_income","education","hh_size","adults_hh","country_direction","country_change","economic_situation","political_situation","economy_change","next_election","future_vote","attitude_Kopacz","hh_finances","future_finances","politics_interest","political_views","past_election","past_vote","religious_participation","marital_status","monthly_income","DATE","weight","married","ed_level","urban_rural","mean_income","future_vote_agg","past_vote_agg","policies_improve_economic","Satisfied_democracy","Attitude_Americans","Attitude_English","Attitude_Austrians","Attitude_French","Attitude_Greeks","Attitude_Spaniards","Attitude_Japanese","Attitude_Germans","Attitude_Russians","Attitude_Swiss","Relations_Germany","Relations_Russia","Residence","Length_residence","LD","survey_month","after_shock","Nov_Dec_issue","new_Nov","new_Jan","treatment","gov_intervene","proposal_support","FXloan","repayFXloan","loan_type1","loan_type2","loan_type3","loan_type4","loan_EUR","loan_CHF","loan_USD","loan_currency1","loan_currency2","loan_currency3","loan_currency4","know_FXborrower","parliament_election","parliament_vote","province","monthly_incPC","parliament_vote_agg","chfd_r","chfd_e","new_Oct15","month","monthyear","monthyear2","past.vote","vote.intent","turnout.intent","know_FXborrower_original","incumbent.intent","past.turnout","past.incumbent","incumbent.defector","employed","treat","immigration.outofcontrol","immigration.crime","immigration.takejobs","immigration.uneasy","immigration.disease","immigration.loyalty","immigration.worse","immigration.loyalty2","immigration.culture"
"7008",406,1,1995,1,1,3,6,3,4,7,6,2,3,3,3,4,NA,NA,2,4,3,3,2,2,NA,4,1,41,2015-10-16,0.715731396850564,0,2,1,2250,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly not take part in it",NA,"Kujawsko-pomorskie","Up to PLN 649",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,"No","No","No","No","No","No","TRUE","cntrl",4,3,2,2,2,2,3,2,3
"7009",408,1,1981,1,4,NA,12,3,2,4,4,7,2,4,3,3,NA,NA,2,3,3,3,97,2,NA,2,3,11,2015-10-16,1.36213103934926,0,1,1,500,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Some intervention","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","PiS","Kujawsko-pomorskie","Up to PLN 649",1,0,1,1,"Oct",Oct 2015,2015-10-01,NA,"PiS","Yes","Yes","No","No","No","No","FALSE","cntrl",2,NA,4,NA,3,2,4,2,NA
"7010",409,2,1975,1,4,NA,15,3,2,9,4,1,3,4,3,3,NA,NA,3,4,3,4,97,2,NA,2,2,21,2015-10-16,1.18932628818071,1,1,1,1200,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Kujawsko-pomorskie","Up to PLN 649",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,NA,"No",NA,"No","No",NA,"FALSE","cntrl",2,4,2,3,2,1,1,1,1
"7011",420,1,1947,3,4,NA,13,3,4,2,2,1,2,3,2,2,NA,NA,2,3,3,3,5,1,7,2,2,31,2015-10-16,1.07885841164259,1,2,2,1650,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Do not intervene","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Dolnoslaskie","From PLN 1,400 to 1,999",2,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","No","Yes","Yes","Yes","No","FALSE","Hungary",5,3,5,NA,2,2,5,2,4
"7012",421,2,1971,3,1,1,3,3,10,3,2,2,2,4,2,2,NA,NA,4,3,4,2,5,1,1,2,2,51,2015-10-16,1.19071646451524,1,4,2,2600,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Some intervention","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","PiS","Dolnoslaskie","2,000 PLN and more",1,0,1,1,"Oct",Oct 2015,2015-10-01,"PiS","PiS","Yes","Yes","No","Yes","No","No","TRUE","history",1,2,2,2,2,2,2,2,3
"7013",423,1,1938,3,4,NA,13,3,8,2,2,1,3,2,7,3,NA,NA,2,4,3,3,2,1,7,2,2,31,2015-10-16,0.94199760300052,1,2,2,1650,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Do not intervene","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","po","Dolnoslaskie","From PLN 1,400 to 1,999",2,0,1,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","Yes","Yes","Yes","Yes","No","FALSE","info",3,3,4,NA,5,2,2,2,2
"7014",424,2,1987,3,3,3,14,3,3,3,1,2,3,3,3,2,NA,NA,2.5,4,4,3,1,2,NA,4,1,41,2015-10-16,1.08913157726432,0,1,2,2250,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Some intervention","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly not take part in it",NA,"Lódzkie","From PLN 650 to 999",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,"No","No","No","No","No","No","TRUE","Hungary",3,3,2,2,3,3,2,2,3
"7015",426,2,1951,3,4,NA,13,3,6,2,2,2,3,2,2,3,NA,NA,2,3,4,1,7,2,NA,4,2,11,2015-10-16,0.619558270701493,1,3,2,500,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Big intervention","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Lódzkie","From PLN 1,400 to 1,999",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,NA,"No",NA,"No","No",NA,"FALSE","cntrl",5,5,5,5,5,3,4,5,2
"7016",427,1,1946,3,4,NA,12,3,2,1,1,1,2,3,3,3,NA,NA,2,3,3,1,1,1,7,4,4,11,2015-10-16,1.04149458452652,0,1,2,500,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Do not intervene","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","po","Lódzkie","Up to PLN 649",2,0,1,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","Yes","Yes","Yes","Yes","No","FALSE","cntrl",2,3,4,4,4,2,4,2,5
"7017",428,1,1963,2,1,3,10,3,7,7,6,7,3,2,3,3,NA,NA,2,3,3,4,4,1,97,2,2,41,2015-10-16,1.2135235374329,1,2,2,2250,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Malopolskie","From PLN 1,400 to 1,999",NA,0,0,1,"Oct",Oct 2015,2015-10-01,"other",NA,NA,"No",NA,"Yes","No",NA,"TRUE","cntrl",5,4,4,4,4,4,4,3,4
"7018",431,1,1990,1,1,3,6,3,5,2,2,2,2,3,3,3,NA,NA,4,3,3,2,5,1,4,4,1,41,2015-10-16,1.05230852437713,0,3,1,2250,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Malopolskie","From PLN 1,400 to 1,999",1,0,0,1,"Oct",Oct 2015,2015-10-01,"other","PiS","Yes","No","No","Yes","No","No","TRUE","info",4,2,2,2,3,3,3,3,3
"7019",432,2,1970,1,1,4,9,3,4,9,6,1,2,2,2,2,NA,NA,4,3,3,3,97,1,5,2,2,11,2015-10-16,1.56183394498061,1,2,1,500,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","psl","Malopolskie","Up to PLN 649",3,0,0,1,"Oct",Oct 2015,2015-10-01,"other","other","Yes","No","Yes","Yes","Yes","No","TRUE","info",2,3,3,3,3,3,3,3,3
"7020",433,2,1986,2,1,1,2,3,12,3,2,7,2,3,2,2,NA,NA,3,3,2,4,4,1,7,2,2,51,2015-10-16,1.42319493781031,1,4,2,2600,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","Don’t know/not sure","Malopolskie","From PLN 1,400 to 1,999",3,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP","other","Yes","No","No","Yes","Yes","Yes","TRUE","Hungary",4,3,3,4,5,4,2,2,4
"7021",435,2,1977,1,4,NA,12,3,6,4,2,1,3,7,7,2,NA,NA,2,5,3,3,5,1,1,2,2,11,2015-10-16,1.00256750341947,1,3,1,500,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Some intervention","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Malopolskie","From PLN 1,400 to 1,999",1,0,0,1,"Oct",Oct 2015,2015-10-01,"PiS","PiS","Yes","No","No","Yes","No","No","FALSE","info",4,4,4,4,3,NA,4,4,4
"7022",437,2,1960,1,4,NA,12,3,4,6,6,7,7,7,7,7,NA,NA,7,3,3,4,97,1,97,2,2,11,2015-10-16,0.886797782138643,1,2,1,500,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Malopolskie","From PLN 1,000 to 1,399",NA,0,0,1,"Oct",Oct 2015,2015-10-01,"other",NA,NA,"No",NA,"Yes","No",NA,"FALSE","history",2,2,2,NA,2,2,2,2,2
"7023",439,1,1943,1,4,NA,13,3,4,7,5,2,4,4,4,4,NA,NA,2.5,3,3,4,97,1,7,2,2,31,2015-10-16,0.885353602785086,1,2,1,1650,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Not sure/don’t know"," Don’t know","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","Don’t know/not sure","Malopolskie","Don’t know",3,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP","other","Yes","No","No","Yes","Yes","Yes","FALSE","history",NA,2,2,2,2,2,2,2,2
"7024",440,1,1992,2,1,3,7,3,4,1,1,1,2,3,4,2,NA,NA,1,1,2,3,4,1,7,4,1,31,2015-10-16,1.34633937456837,0,2,2,1650,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Big intervention","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Malopolskie","From PLN 1,400 to 1,999",2,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","No","Yes","Yes","Yes","No","TRUE","info",3,3,4,NA,2,2,4,3,3
"7025",452,2,1952,2,3,1,13,1,4,1,1,2,3,3,3,3,NA,NA,2.5,1,2,3,3,2,NA,2,4,11,2015-10-16,1.10326009502069,0,2,2,500,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Some intervention","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","Zjednoczona Lewica","Slaskie","From PLN 650 to 999",3,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"other","Yes","No","No","No","No","No","TRUE","Hungary",1,1,6,6,6,1,2,1,5
"7026",454,1,1995,6,1,3,6,3,3,5,2,2,4,4,4,4,NA,NA,4,4,3,3,97,2,NA,4,1,7,2015-10-16,1.2431651128761,0,1,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Some intervention","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","Other","Lódzkie","Don’t know",3,0,1,1,"Oct",Oct 2015,2015-10-01,NA,"other","Yes","Yes","No","No","No","No","TRUE","history",1,1,2,1,3,1,1,1,1
"7027",455,2,1947,6,4,NA,13,3,8,2,2,2,3,3,4,3,NA,NA,3,4,2,3,1,1,3,5,2,31,2015-10-16,0.617439177425052,1,2,3,1650,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","Zjednoczona Lewica","Lódzkie","2,000 PLN and more",3,0,0,1,"Oct",Oct 2015,2015-10-01,"other","other","Yes","No","No","Yes","No","No","FALSE","history",3,NA,5,NA,NA,1,5,1,4
"7028",457,1,1954,6,4,NA,12,3,8,1,1,1,7,2,2,3,NA,NA,2,3,3,2,4,1,7,4,4,21,2015-10-16,0.671658736906747,0,2,3,1200,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","po","Lódzkie","From PLN 1,000 to 1,399",2,0,1,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","Yes","Yes","Yes","Yes","No","FALSE","history",2,5,5,5,5,2,5,2,6
"7029",460,1,1986,3,1,3,7,3,7,3,2,2,4,4,3,3,NA,NA,2.5,1,3,5,97,2,NA,4,2,41,2015-10-16,0.95672460574075,1,2,2,2250,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Big intervention","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly not take part in it",NA,"Wielkopolskie","From PLN 1,000 to 1,399",NA,0,1,1,"Oct",Oct 2015,2015-10-01,NA,NA,"No","Yes","No","No","No","No","TRUE","Hungary",NA,1,1,6,1,1,1,1,5
"7030",463,2,1965,3,1,3,3,3,11,3,3,1,3,2,3,3,NA,NA,2,4,3,3,7,1,7,2,2,51,2015-10-16,0.849561861473661,1,4,2,2600,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Wielkopolskie",NA,2,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","No","Yes","Yes","Yes","No","TRUE","cntrl",2,2,2,NA,6,2,NA,2,5
"7031",467,2,1982,5,1,2,4,3,11,4,2,1,3,2,3,3,NA,NA,1,5,3,3,4,1,7,3,2,51,2015-10-16,1.14587898293103,1,4,3,2600,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Do not intervene"," Don’t know","Yes","Yes",NA,"Family",NA,NA,"Euro",NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Slaskie","2,000 PLN and more",2,0,1,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","Yes","Yes","Yes","Yes","No","TRUE","info",5,5,5,4,5,2,4,3,4
"7032",469,1,1966,5,4,NA,16,3,4,3,2,1,3,3,3,3,NA,NA,2,3,3,3,5,7,NA,4,2,0,2015-10-16,1.22102801490551,1,2,3,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Some intervention"," Don’t know","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Slaskie","Up to PLN 649",2,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"PORP","Yes","No","Yes",NA,"No","No","FALSE","Hungary",2,2,2,2,2,2,2,2,2
"7033",472,1,1934,5,4,NA,13,3,8,3,3,1,3,3,3,3,NA,NA,2,3,3,4,4,7,NA,3,2,41,2015-10-16,0.824870258331941,1,2,3,2250,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Not sure/don’t know"," Don’t know","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Slaskie","From PLN 1,400 to 1,999",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,NA,"No",NA,NA,"No",NA,"FALSE","Hungary",NA,NA,4,NA,NA,3,NA,NA,4
"7034",473,2,1952,5,4,NA,13,3,11,4,4,7,3,3,3,3,NA,NA,2,5,3,1,4,1,7,3,2,51,2015-10-16,0.878676340424127,1,4,3,2600,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Some intervention","The government should something but I do not support either Proposal A or Proposal B","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Slaskie","2,000 PLN and more",2,0,1,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","Yes","Yes","Yes","Yes","No","FALSE","Hungary",4,4,4,4,4,3,4,3,6
"7035",474,2,1942,5,4,NA,13,3,8,2,2,2,3,3,3,3,NA,NA,4,5,3,1,6,1,1,2,2,31,2015-10-16,0.791520781276154,1,2,3,1650,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Some intervention","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Slaskie","2,000 PLN and more",1,0,0,1,"Oct",Oct 2015,2015-10-01,"PiS","PiS","Yes","No","No","Yes","No","No","FALSE","cntrl",2,2,2,NA,NA,3,2,1,3
"7036",475,1,1953,5,4,NA,13,3,8,1,1,7,3,2,3,3,NA,NA,2,3,3,1,3,7,NA,4,4,NA,2015-10-16,0.86102707379937,0,2,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Slaskie",NA,2,0,1,1,"Oct",Oct 2015,2015-10-01,NA,"PORP","Yes","No","Yes",NA,"No","No","FALSE","info",4,NA,1,NA,4,NA,4,2,6
"7037",476,1,1962,5,4,NA,13,3,8,3,3,7,7,5,3,3,NA,NA,3,5,3,4,5,1,1,1,2,51,2015-10-16,1.06613198805788,1,2,3,2600,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Big intervention","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Slaskie","2,000 PLN and more",1,0,0,1,"Oct",Oct 2015,2015-10-01,"PiS","PiS","Yes","No","No","Yes","No","No","FALSE","cntrl",4,NA,NA,5,5,1,NA,1,5
"7038",477,1,1949,5,4,NA,13,3,11,2,2,2,5,3,5,3,NA,NA,2.5,3,2,2,3,2,NA,5,2,51,2015-10-16,0.69333771929561,1,4,3,2600,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Big intervention","Proposal B, where banks pay 90% and borrowers 10% of the costs","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","Zjednoczona Lewica","Swietokrzyskie","2,000 PLN and more",3,0,1,1,"Oct",Oct 2015,2015-10-01,NA,"other","Yes","Yes","No","No","No","No","FALSE","cntrl",2,2,2,5,5,2,3,2,5
"7039",478,1,1937,5,4,NA,13,3,11,2,2,2,2,2,2,2,NA,NA,2,3,3,1,2,1,5,5,2,41,2015-10-16,0.69333771929561,1,4,3,2250,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Not sure/don’t know"," Don’t know","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","psl","Swietokrzyskie","From PLN 1,400 to 1,999",3,0,0,1,"Oct",Oct 2015,2015-10-01,"other","other","Yes","No","Yes","Yes","Yes","No","FALSE","cntrl",4,NA,5,NA,6,NA,5,5,5
"7040",479,2,1988,1,4,NA,15,3,4,4,2,2,7,4,2,2,NA,NA,2.5,1,3,5,7,2,NA,3,2,0,2015-10-16,0.967289141911386,1,2,1,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Lódzkie","Up to PLN 649",1,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"PiS","Yes","No","No","No","No","No","FALSE","history",3,2,1,2,1,2,2,5,5
"7041",481,1,1950,1,4,NA,12,3,2,4,4,1,2,4,7,4,NA,NA,7,2,3,5,97,1,1,4,2,11,2015-10-16,0.997742077701691,1,1,1,500,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Not sure/don’t know"," Don’t know","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Lódzkie","Up to PLN 649",NA,0,0,1,"Oct",Oct 2015,2015-10-01,"PiS",NA,NA,"No",NA,"Yes","No",NA,"FALSE","cntrl",3,3,2,3,1,3,3,2,4
"7042",482,1,1984,1,1,3,6,3,5,4,3,1,2,3,3,2,NA,NA,3,3,3,3,7,2,NA,4,2,21,2015-10-16,0.806634095929076,1,3,1,1200,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Do not intervene","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","PiS","Lódzkie","From PLN 650 to 999",1,0,1,1,"Oct",Oct 2015,2015-10-01,NA,"PiS","Yes","Yes","No","No","No","No","TRUE","cntrl",3,2,1,2,2,1,2,1,2
"7043",483,1,1952,1,4,NA,14,3,7,2,2,1,3,3,2,2,NA,NA,2,1,4,4,7,1,5,2,2,0,2015-10-16,0.453820406919371,1,2,1,0,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Do not intervene","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Lódzkie","Up to PLN 649",1,0,0,1,"Oct",Oct 2015,2015-10-01,"other","PiS","Yes","No","No","Yes","Yes","Yes","FALSE","Hungary",3,2,5,5,1,NA,5,2,6
"7044",484,2,1978,1,1,3,5,3,10,4,2,2,3,4,7,4,NA,NA,2.5,3,3,5,97,1,97,2,2,0,2015-10-16,0.749021273622289,1,4,1,0,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Lódzkie","Up to PLN 649",NA,0,0,1,"Oct",Oct 2015,2015-10-01,"other",NA,NA,"No",NA,"Yes","No",NA,"TRUE","info",2,1,1,1,1,2,1,1,2
"7045",485,1,1971,1,1,3,6,3,4,2,2,2,2,3,2,2,NA,NA,4,3,3,3,7,1,1,3,3,31,2015-10-16,0.840614122300476,0,2,1,1650,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Lódzkie","From PLN 1,400 to 1,999",1,0,0,1,"Oct",Oct 2015,2015-10-01,"PiS","PiS","Yes","No","No","Yes","No","No","TRUE","cntrl",4,NA,3,2,1,1,2,6,3
